ID,Data,View_time,searched_game,watched,channel_name,language,last_game_name,stream_title,stream_tags,classification_labels,is_branded_content
2,2025-03-26 20:18,481,overwatch-2,False,pirangueirah,pt,Overwatch 2,[+18] Boa noite  ❤️,"['LGBTQIAMais', 'Português', 'kekel', 'Ele', 'Ela', 'deadbbydaylight', 'fortinite', 'DropsAtivados']",[],False
2,2025-03-26 20:18,481,overwatch-2,True,Cooruja,pt,Overwatch 2,[ !DROP Faster] 5 Lootbox free! !Sorteio LESSERAFIM e !LendariaFree !eternus !Passefree,"['Autismo', 'TDAH', 'SafeSpace', 'Pai', 'Overwatch', 'Português', '4fun', 'OW2Season15', 'OW2Brasil', 'DropsAtivados']",[],False
2,2025-03-26 20:18,481,overwatch-2,False,0Deti,pt,Overwatch 2,MIYUKIGAMEPLAY NA AREA SENDO NEWBINHA NOS JOGOS E MAIS TARDE REPO !pix !youtube,"['Português', '0deti', 'deti0', 'naruto', 'games', 'interação', 'detingsimulator', 'deti', 'DropsAtivados']",[],False
3,2025-03-26 20:28,398,roblox,False,itskinho,pt,ROBLOX,desafios no dress to impress,"['roblox', 'dresstoimpress', 'dragqueen', 'Português']",[],False
3,2025-03-26 20:28,398,roblox,False,TaisRozaa,pt,ROBLOX,+18 blood strike e oque mais hj? e bate papo,"['Português', 'farlight84', 'fortinte', 'VALORONAT', 'bloodstrike', 'minecraft', 'fps']",[],False
3,2025-03-26 20:28,398,roblox,False,leonara_,pt,ROBLOX,[+18] [PT/BR] joguinho de moda - !loja !discord !metas,"['Português', 'LGBTQFriendly', 'ForFunContent', 'Conversação', 'Diversâo', 'react', 'SafeSpace4All', 'musiclover', 'conversa', 'Reposição']",['ProfanityVulgarity'],False
4,2025-03-27 00:00,354,ea-sports-fc-25,False,kuk1pobizinho,pt,EA Sports FC 25,"FIFA 25, TEMPORADA, 3 DIVISÃO!",['Português'],[],False
4,2025-03-27 00:00,354,ea-sports-fc-25,False,eLyzao,pt,EA Sports FC 25,Terminar o rivals    ❗Nesha ❗iox +18,['Português'],[],False
4,2025-03-27 00:01,354,ea-sports-fc-25,False,DaniloFariasFUT,pt,EA Sports FC 25,PREMIAÇAO RANK 1 WL AGORA + RIVALS ATE A ELITE  !LOJA @danilofariasfut,"['Português', 'ultimateteam', 'dicas', 'eafc25', 'gameplay', 'tutorials', 'livestreamers', 'resenha', 'frontpagetwitch', 'TOTY']",[],False
5,2025-03-27 00:08,515,fortnite,False,trakinas710,pt,Fortnite,live fortnite modo raiz,"['Fortnite', 'Português', 'game', 'Construção']",[],False
5,2025-03-27 00:09,515,fortnite,False,Praxt_,pt,Fortnite,FORTNITE | JOGANDO COM O CHAT  @praxt_ !sociais,"['Português', 'Fortnite', 'vbucks', 'AMA', 'PlayingwWithViewers', 'SeiosFartos', 'regras', 'LGBT', 'ＬＯＬ', 'LiveFamilia']",[],False
5,2025-03-27 00:09,515,fortnite,False,medbia_,pt,Fortnite,Tia Bia ta de volta!,"['FortniteGirl', 'Fortnite', 'FortniteBrasil', 'campfortnite', 'Português']",[],False
6,2025-03-27 00:19,413,counter-strike,True,taruhgg,pt,Counter-Strike,Do PRATA ao GLOBAL com DICAS ❗curso ❗csgobig ❗neshastore ❗skinclub,['Português'],['MatureGame'],False
6,2025-03-27 00:19,413,counter-strike,False,avndeus,pt,Counter-Strike,🔴 RERUN - NÃO ESTOU AO VIVO - FARM 4X PARA SUBS - LOJA RENOVADA,"['CS2', 'cs2faceit', 'ga', 'gamersclubcs', 'Português']",['MatureGame'],False
6,2025-03-27 00:19,413,counter-strike,False,sheviiioficial,pt,Counter-Strike,600K HJE? CS + REACT + ??? ❗csgobig ❗insta❗sub,"['Português', 'IRL', 'SHEVI', 'shevii2k']",['MatureGame'],False
7,2025-03-27 00:28,437,overwatch-2,False,noobzinhavs,pt,Overwatch 2,Drops on!!!>Lives Seg a SAB às20h],"['Português', 'dixlecia', 'DropsAtivados']",[],False
7,2025-03-27 00:28,437,overwatch-2,True,exexeboy,pt,Overwatch 2,⊹ ₊  ⁺‧₊˚ ♡ ପ(๑•ᴗ•๑)ଓ ♡˚₊‧⁺ ₊ ⊹,"['Portuguese', 'Português', 'DropsAtivados']",[],False
7,2025-03-27 00:28,437,overwatch-2,False,annadeneve,pt,Overwatch 2,[DROPS ON] bora bill la ele pro max ♡ !clip !pix !discord !comandos,"['Mulher', 'bonita', 'engraçada', 'Português', 'ConversandoComOChat', 'DropsAtivados']",[],False
8,2025-03-27 00:37,309,sea-of-thieves,True,DuuDyys,pt,Sea of Thieves,🔴DROPS ON🔴 Atrás de Bandeiras - ❗livepix❗duelo❗meta❗sotbr❗lendas❗aposta - PTBR - ESP,"['Português', 'jogos', 'Xbox', 'sorteio', 'gaules', 'Yoda', 'Brasileiro', 'Español', 'alanzoka', 'divertido']",[],False
8,2025-03-27 00:37,309,sea-of-thieves,False,iShadowWolf_,pt,Sea of Thieves,(+18) Livezinha Muito Doida!   ||   (❗comandos ❗metas ❗drops)   ||   (Epic Code: SHADOWOLF),"['Português', 'DropsAtivados']",[],False
8,2025-03-27 00:37,309,sea-of-thieves,False,filho_do_chocobo,pt,Sea of Thieves,DROPS ON!  Sou o novo ATHENIANUS || livepix ON! 5 DIAS PRA META,"['Português', 'ordemparanormal', 'ordemparanormalrpg', 'sobrevivendoaohorror', 'RPG', 'rpgdemesa', 'DropsAtivados']",[],False
9,2025-03-27 04:00,413,roblox,True,lord_cds,pt,ROBLOX,[PS4] Roblox-Mapas Aleatórios s2-Live On.,"['conversa', 'Português']",[],False
9,2025-03-27 04:00,413,roblox,False,Msfushigurinho,pt,ROBLOX,"Apenas assista, pois há um método para a minha loucura. (Doação para o PC: 1087/3000)","['Português', 'UguisuAnko', 'garou', 'HajimeOwari']",[],False
9,2025-03-27 04:00,413,roblox,False,rengokuxin19,pt,ROBLOX,Roblox,['Português'],[],False
10,2025-03-27 04:09,495,grand-theft-auto-v,False,NicolleRodrigues_,pt,Grand Theft Auto V,"GTA RP | ONTEM EU TAVA DORMINDO, HOJE EU TO ACORDADO","['Português', 'ＧTA5', 'gtavrproleplay', 'GTARP', 'temarj']",['MatureGame'],False
10,2025-03-27 04:09,495,grand-theft-auto-v,True,Bkinho,pt,Grand Theft Auto V,ESTOU DE VOLTA?! FIM DO CAPITÃO BIGODE,"['Português', 'Turquia', 'Hype', 'Bkinho']",['MatureGame'],False
10,2025-03-27 04:09,495,grand-theft-auto-v,False,Larissaorp,pt,Grand Theft Auto V,+18 [FRANÇA] SIM EU SOU 24H ON PART 2  @larissaorp !comandos !playlist !pix,"['Português', 'larissinha', 'metropolegg']",['MatureGame'],False
11,2025-03-27 04:19,318,marvel-rivals,False,ZaynXfps,pt,Marvel Rivals,PROCURANDO PLAYERS PARA JOGA CAMPEONATO VALENDO DINHEIRO!!!! @ZaynXfps @dreyjj | rankeds !pix !elo !pc !social,"['Português', 'DropsAtivados']",[],False
11,2025-03-27 04:19,318,marvel-rivals,False,jaimeleef,pt,Marvel Rivals,Assistindo algo e jaja marvelzinha,"['Português', 'Anime', 'DropsAtivados']",[],False
11,2025-03-27 04:19,318,marvel-rivals,False,emikotone,pt,Marvel Rivals,Dia 34: live bem comfy papeando e desenhando + joguinhos 🌺 DONATEMI (1 real = +2min) | !pix !bttv !donatemi,"['Conversa', 'LGBTQIAPlush', 'Games', 'Art', 'kawaii', 'Português', 'DropsAtivados']",[],False
12,2025-03-27 04:27,366,minecraft,False,EiMine77,pt,Minecraft,✅ RECOMPENSAS ON! | ⭐ SEJA RÁPIDO E GANHE UMA CAPA DE GRAÇA: !CAPA | 💘 INSTAGRAM: @EIMINE77 | !ajuda !rerun !sub !subgratis !loja,"['Minecraft', 'EiMine', 'Português', 'RecompensasEspetadores']",[],False
12,2025-03-27 04:27,366,minecraft,True,ZAKl1k,pt,Minecraft,🟢 MINECRAFT | ⭐ GANHE ASSISTINDO | 🌟 REESTOQUE DIA 10 ou 16 às 18h | !loja !points !prime !sub,"['Português', 'Minecraft', 'RecompensasEspetadores']",[],False
12,2025-03-27 04:27,366,minecraft,False,wanted666_,pt,Minecraft,[+18 CPX XP] Cupinxa | Jogando um Minezin da madruga,"['Português', 'capitalcity', 'CAPITAL', 'capitalcityrp', 'PAULINHO', 'paulinhooloko', 'PaulinhoLOKObr', 'fivem', 'FiveMRolePlay', 'PvP']",[],False
13,2025-03-27 08:00,470,ea-sports-fc-25,True,DieguitoPotter,pt,EA Sports FC 25,A Montanha Gullit não escolhe vencedores… são os vencedores que a conquistam. E eu cheguei ao topo 🏔️ Rewards de Rivals 🔥 !Social ✅,"['Português', 'eafc25', 'packopening', 'ultimateteam', 'futbirthday', 'rage']",[],False
13,2025-03-27 08:00,470,ea-sports-fc-25,False,Fifandrade,pt,EA Sports FC 25,"HYPE DAS 5H, FINALIZANDO AS VITÓRIAS RUMO A DIV ELITE! !donate1 !donate2 !coins !sub !pix","['Português', 'eaesports', 'EAFC', 'eafc25', 'ultimateteam', 'fc25', 'fc25gameplay']",[],False
13,2025-03-27 08:00,470,ea-sports-fc-25,False,oBruxoFut,pt,EA Sports FC 25,✨ PREMIAÇÃO RIVALS + TERMINANDO O GULLIT E MATA-MATA ❗️tatica ❗️st ❗️lurdinha,"['Português', 'muitoelegante', 'charmoso', 'bonito', 'inteligente', 'carismático', 'educado', 'proplayer', 'futebol', 'fitness']",[],False
14,2025-03-27 08:10,337,grand-theft-auto-v,True,NTV_Games,pt,Grand Theft Auto V,🔞 🟢AO VIVO🟢 🔫PRODIGY SERVE NOVO🔫 ❗Comandos ❗Pix ❗Instagram ❗tiktok ❗Rs pedir musica..,['Português'],['MatureGame'],False
14,2025-03-27 08:10,337,grand-theft-auto-v,False,Larissaorp,pt,Grand Theft Auto V,+18 [FRANÇA] SIM EU SOU 24H ON PART 2  @larissaorp !comandos !playlist !pix,"['Português', 'larissinha', 'metropolegg']",['MatureGame'],False
