Timestamp,Usuário,Canal,Mensagem
Timestamp,Usuário,Canal,Mensagem
2025-04-02 18:06:30,ankabov,alanzoka,to sentindo daqui ainda
2025-04-02 18:06:31,batsuke,alanzoka,bota umas rosas
2025-04-02 18:06:32,rynpxo,alanzoka,catJAM
2025-04-02 18:06:32,giovanni_ken,alanzoka,!JOGO
2025-04-02 18:06:32,nightbot,alanzoka,Jogo atual: The Movies
2025-04-02 18:06:33,srmelancia,alanzoka,no the sims vc nao fazia casa bonita assim
2025-04-02 18:06:36,sakachii_,alanzoka,tubboNod
2025-04-02 18:06:37,believemystica,alanzoka,Né
2025-04-02 18:06:38,manuzitaoliveira,alanzoka,!jogo
2025-04-02 18:06:38,governodoriodejaneiro,alanzoka,@SpringSeasons HUHH
2025-04-02 18:06:38,juniorferreira,alanzoka,Linda
2025-04-02 18:06:38,cassio_oloko,alanzoka,fico alanzChef
2025-04-02 18:06:38,believemystica,alanzoka,eavNod
2025-04-02 18:06:39,leonardo_cavv,alanzoka,Ficou?
2025-04-02 18:06:39,apol0gam,alanzoka,FICOU
2025-04-02 18:06:40,ozyyu,alanzoka,"Hora de um próximo diretor, o Taradino"
2025-04-02 18:06:41,slakk25,alanzoka,NODDERS
2025-04-02 18:06:41,juliasgabriela,alanzoka,ficou
2025-04-02 18:06:42,heylucaoo,alanzoka,10%
2025-04-02 18:06:42,dearmargarida,alanzoka,não
2025-04-02 18:06:42,waynlee_,alanzoka,Pontro
2025-04-02 18:06:42,tiodeivis,alanzoka,"da ate vontade de cagar,"
2025-04-02 18:06:42,silixplay,alanzoka,quero ver logo em breve um filme sobre um gato laraja que ama comer lasanha e estourar o cartão do dono
2025-04-02 18:06:44,ioio095,alanzoka,Eu moraria ai
2025-04-02 18:06:44,gustabritz,alanzoka,Uau
2025-04-02 18:06:45,tonhodobem_,alanzoka,fico
2025-04-02 18:06:45,lunet___,alanzoka,ficou
2025-04-02 18:06:47,emilioeisabella,alanzoka,"acho que agr eu quero trampar cntg alinho, até de graça"
2025-04-02 18:06:48,springseasons,alanzoka,"parece sao paulo, bota 2 arvores e chama de parque"
2025-04-02 18:06:51,1pao10reais,alanzoka,EU
2025-04-02 18:06:52,believemystica,alanzoka,Vamo querer Juninho eavCheer
2025-04-02 18:06:52,sakachii_,alanzoka,yuyixBongo
2025-04-02 18:06:53,manuzitaoliveira,alanzoka,!game
2025-04-02 18:06:53,juniorferreira,alanzoka,:)
2025-04-02 18:06:53,nightbot,alanzoka,Jogo atual: The Movies
2025-04-02 18:06:55,believemystica,alanzoka,A
2025-04-02 18:06:56,ocaaca,alanzoka,kkkkkkkkkkkkkkkkk q porra de jogo bom
2025-04-02 18:06:56,cassio_oloko,alanzoka,alanzThink
2025-04-02 18:06:57,springseasons,alanzoka,vai toby
2025-04-02 18:06:58,believemystica,alanzoka,Kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
2025-04-02 18:06:59,kesslerrs,alanzoka,!jogos
2025-04-02 18:07:00,nightbot,alanzoka,Jogo jogado hoje: The Movies
2025-04-02 18:07:01,springseasons,alanzoka,vai tobey maguire
2025-04-02 18:07:01,hitashitwitch,alanzoka,coloca eu como diretor
2025-04-02 18:07:03,littlejames00,alanzoka,tobey maguire
2025-04-02 18:07:03,juniorferreira,alanzoka,Blz miaowSideeye
2025-04-02 18:07:03,slakk25,alanzoka,akakakkkakk
2025-04-02 18:07:04,cassio_oloko,alanzoka,FeelsBadMan
2025-04-02 18:07:04,springseasons,alanzoka,KKKKKKK
